title,authors,publishedDate,categories,description,averageRating,textSnippet
Middlemarch,['George Eliot'],2011,['England'],"The Penguin English Library Edition of Middlemarch by George Eliot 'She did not know then that it was Love who had come to her briefly as in a dream before awaking, with the hues of morning on his wings - that it was Love to whom she was sobbing her farewell as his image was banished by the blameless rigour of irresistible day' George Eliot's most ambitious novel is a masterly evocation of diverse lives and changing fortunes in a provincial community. Peopling its landscape are Dorothea Brooke, a young idealist whose search for intellectual fulfillment leads her into a disastrous marriage to the pedantic scholar Casaubon; the charming but tactless Dr Lydgate, whose marriage to the spendthrift beauty Rosamund and pioneering medical methods threaten to undermine his career; and the religious hypocrite Bulstrode, hiding scandalous crimes from his past. As their stories interweave, George Eliot creates a richly nuanced and moving drama, hailed by Virginia Woolf as 'one of the few English novels written for adult people'. The Penguin English Library - 100 editions of the best fiction in English, from the eighteenth century and the very first novels to the beginning of the First World War.",N/A,N/A
Pride and Prejudice,['Jane Austen'],2007,['Courtship'],"Pride and Prejudice is one of the most cherished love stories in English literature, delighting generations of readers with its high comedy, social observation and compelling romance, and spawning an entire industry of spin-off books, film adaptations and works of literary criticism. The pride of Mr Darcy, and the prejudice of Elizabeth Bennet, conduct an absorbing dance through the rigid social hierarchies of early nineteenth-century England.",N/A,N/A
"Marriage, a History",['Stephanie Coontz'],2005,['History'],"Just when the clamor over ""traditional"" marriage couldn't get any louder, along comes this groundbreaking book to ask, ""What tradition?"" In Marriage, a History, historian and marriage expert Stephanie Coontz takes readers from the marital intrigues of ancient Babylon to the torments of Victorian lovers to demonstrate how recent the idea of marrying for love is - and how absurd it would have seemed to most of our ancestors. It was when marriage moved into the emotional sphere in the nineteenth century, she argues, that it suffered as an institution just as it began to thrive as a personal relationship. This enlightening and hugely entertaining book brings intelligence, perspective, and wit to today's marital debate.",N/A,N/A
The Owl and the Pussycat,['Edward Lear'],2007-09,['Juvenile Nonfiction'],"After a courtship voyage of a year and a day, Owl and Pussy finally buy a ring from Piggy and are blissfully married.",5,N/A
The Seven Principles for Making Marriage Work,"['John Mordechai Gottman', 'Nan Silver']",1999,['Family & Relationships'],"John Gottman has revolutionized the study of marriage by using rigorous scientific procedures to observe the habits of married couples in unprecedented detail over many years. Here is the culmination of his life's work: the seven principles that guide couples on the path toward a harmonious and long-lasting relationship. Packed with practical questionnaires and exercises, The Seven Principles for Making Marriage Work is the definitive guide for anyone who wants their relationship to attain its highest potential.",3,N/A
Haven In A Heartless World,['Christopher Lasch'],1977,['Religion'],"In the American political vocabulary, ""family"" and ""family values"" no longer simply evoke pictures of harmonious scenes; they also push our buttons (left and right) about what is wrong with society. One of the earliest and sharpest cultural commentators to investigate the twentieth-century American family, Christopher Lasch argues in this book that as social science ""experts"" intrude more and more into our lives, the family's vital role as the moral and social cornerstone of society disintegrates-and, left unchecked, so does our political and personal freedom.Mr. Lasch combines an analytic overview of the psychological and sociological literature on the American family with his own trenchant analysis of where the problem lies.",N/A,N/A
A Doll's House,['Henrik Ibsen'],2010,['Marriage'],"Written in 1879, 'A Doll's House' has been called the first truly feminist play. A scathing critique of the traditional roles of men and women in 19th century marriage, it caused scandal throughout Europe at a time when marriage was regarded as the most sacred of society's institutions.",N/A,N/A
Mixed Blessings,['Danielle Steel'],1992,['Fiction'],Tale of 3 couples who face decisions about having children that will test the ties that bind them.,N/A,N/A
A Room with a View,['Edward Morgan Forster'],1943,['British'],"British social comedy examines a young heroine's struggle against straitlaced Victorian attitudes as she rejects the man her family has encouraged her to marry and chooses, instead, a socially unsuitable fellow she met on holiday in Italy. Classic exploration of passion, human nature and social convention.",N/A,N/A
The Essays of Michel de Montaigne,['Michel de Montaigne'],1946,['Christianity'],N/A,N/A,N/A
Zahir,['Paulo Coelho'],2005,['Brazilian fiction'],N/A,N/A,N/A
The History of Human Marriage,['Edward Westermarck'],1922,['History'],"The History of Human Marriage by Edward Westermarck, first published in 1921, is a rare manuscript, the original residing in one of the great libraries of the world. This book is a reproduction of that original, which has been scanned and cleaned by state-of-the-art publishing tools for better readability and enhanced appreciation. Restoration Editors' mission is to bring long out of print manuscripts back to life. Some smudges, annotations or unclear text may still exist, due to permanent damage to the original work. We believe the literary significance of the text justifies offering this reproduction, allowing a new generation to appreciate it.",N/A,N/A
After I Do,['Taylor Jenkins Reid'],2014-07,['Fiction'],"""It all started out so well for Lauren Spencer and Ryan Cooper--all-consuming college romance, perfectly imperfect proposal, lovely wedding, and a rustic honeymoon. Now, almost 10 years later, Lauren and Ryan find themselves rehashing the same arguments with increasing vehemence. In a last-ditch effort to save their marriage, Lauren and Ryan decide to take a yearlong break from each other, abstain from all communication, and figure out how they'd like to move forward. Once Ryan moves out, Lauren spends the next year learning more about herself, her marriage, and the foundations of good relationships than she ever imagined.""--Provided by publisher.",5,N/A
The Tortilla Curtain,['T. Coraghessan Boyle'],1995,['Fiction'],From the PEN/Faulkner Award-winning author of If the River Was Whiskey and The Road to Wellville comes a rich and deeply moving novel of the men and women who risk everything to cross the Mexican border to partake of the American Dream.,N/A,N/A
Joe Speedboat,['Tommy Wieringa'],2009,['Fiction'],"A crash of a novel - a crackingly entertaining story about two boys, one wheelchair, and a friendship that propels them headfirst into maturity.",N/A,N/A
Sacred Marriage,['Gary Lee Thomas'],2002-01-24,['Religion'],"Starting with the discovery that the goal of marriage goes beyond personal happiness, writer and speaker Gary Thomas invites readers to see how God can use marriage as a discipline and a motivation to love him more and reflect more of the character of his Son.",N/A,N/A
The Physiology of Marriage,['Honoré de Balzac'],1997,['Fiction'],"It is well known that Balzac had two literary careers--the first, under a pseudonym, writing blood-and-thunder romance novels and the second, under his own name, as the creator of La Comedie Humaine, the vast chronicle of ""contemporary life in all its complexity."" But, in between these outpourings of fiction, he wrote a work of nonfiction--The Physiology of Marriage--that brought him his first fame as a writer and introduced his now familiar worldview in which passion is held in check by social advantage and blind innocence is the greatest danger to well-being. As forgotten today as Stendhal's much more ardent On Love is renown, The Physiology of Marriage coolly examines the economics and power relationships of seduction and love. Balzac proposes that marriage and the selection of a wife be treated as a science, and examines topics ranging from moral education to methods for foiling adulterous relationships. For all of its apparent misogyny, the Physiology is surprisingly evenhanded in its rough treatment of both men and women (and is said to have been written with the collaboration of two women). Though addressed to a male audience, the book's lively attack on the stale institution of marriage made it most popular with women readers of its day. ""'Policy' in marriage consists of taking advantage of all opportunities offered by the laws, by the system of our morals, by force, and by cunning, for preventing your wife from doing the three things that practically constitute the life of love: writing to her lover, seeing him, and speaking to him.""--from The Physiology of Marriage",N/A,N/A
"Men Are from Mars, Women Are from Venus",['John Gray'],2016-06-13,['Family & Relationships'],The classic guide to understanding the opposite sex is finally in paperback with an all new look and a new Foreword by the author.,N/A,N/A
Mansfield Park,['Jane Austen'],1814,['Adoptees'],N/A,N/A,N/A
The Perfect Husband,['Lisa Gardner'],1998,['Fiction'],"""A chilling story of revenge and betrayal, with one of the creepiest villains I've ever read""--Cover",N/A,N/A
The Temple of My Familiar,['Alice Walker'],1989,['Fiction'],"Transcending the conventions of time and place, Walker's novel moves from contemporary America, England, and Africa to unfamiliar primal worlds, where women, men, and animals socialize in surprising ways. The author of The Color Purple has created a mesmerizing novel of vision and spirit.",5,N/A
Mr Loverman,['Bernardine Evaristo'],2013,['Fiction'],"Barrington Jedidiah Walker is seventy-four and leads a double life. Born and bred in Antigua, he's lived in Hackney since the sixties. A flamboyant, wise-cracking local character with a dapper taste in retro suits and a fondness for quoting Shakespeare, Barrington is a husband, father and grandfather - but he is also secretly homosexual and in a relationship with his great childhood friend, Morris. Mr Loverman is a ground-breaking exploration of Britain's older Caribbean community, which explodes cultural myths and fallacies and shows the extent of what can happen when people fear the consequences of being true to themselves.",N/A,N/A
The Zahir,['Paulo Coelho'],2005,['Fiction'],"Set in Paris and in the enchanting landscape of central Asia, this new novel by the author of the international bestsellers The Alchemist and Eleven Minutes follows the journey of a man obsessed with finding the wife who left him without an explanation. The narrator of The Zahir is a bestselling novelist who lives in Paris and enjoys all the privileges that money and celebrity bring. His wife of ten years, Esther, is a war correspondent who, despite her professional success and freedom from the conventional constraints of marriage, is facing an existential crisis. When she disappears along with a friend, Mikhail, who may or may not be her lover, the authorities question the narrator. Was Esther kidnapped, killed, or did she simply abandon a marriage that left her unfulfilled? The narrator doesn't have any answers but he has plenty of questions of his own. Then one day Mikhail, the man with whom Esther was last seen, finds the narrator and promises to take him to his wife. In his attempt to recapture a love lost, the narrator discovers something unexpected about himself.",N/A,N/A
The Marriage of Figaro,['Pierre Augustin Caron de Beaumarchais'],2001,['Drama'],"The hero of the comic genius Beaumarchais' Figaro plays is the eponymous Figaro, a scheming and resourceful valet. His Figaro plays reflect the dynamism of his life, and are perhaps most familiar to people through Mozart's and Rossini's adaptations.",N/A,N/A
"Men are from Mars, Women are from Venus",['John Gray'],1998-01,['Communication'],Airports special A format edition - with our new look foiled cover.,N/A,N/A
Pride and Prejudice,['Jane Austen'],2014-06-26,['Fiction'],Engelsk herregårdsroman fra Hertfordshire omkring år 1800 om trængler og glæder i en familie med fem giftefærdige døtre,N/A,N/A
Marriage Most Scandalous,['Johanna Lindsey'],2005,['Fiction'],"For Sebastian Townshend, son of the eighth Earl of Edgewood, England is a distant and bitter memory.",N/A,N/A
Parallel Lives,['Phyllis Rose'],1983,['Family & Relationships'],"In her study of the married couple as the smallest political unit, Phyllis Rose uses as examples the marriages of five Victorian writers who wrote about their own lives with unusual candor. Copyright © Libri GmbH. All rights reserved.",N/A,N/A
Breaking Dawn,['Stephenie Meyer'],2012,"['Cullen, Edward (Fictitious character)']","To be irrevocably in love with a vampire is both fantasy and nightmare woven into a dangerously heightened reality for Bella Swan. Pulled in one direction by her intense passion for Edward Cullen, and in another by her profound connection to werewolf Jacob Black, a tumultuous year of temptation, loss, and strife have led her to the ultimate turning point. Her imminent choice to either join the dark but seductive world of immortals or to pursue a fully human life has become the thread from which the fates of two tribes hangs. Now that Bella has made her decision, a startling chain of unprecedented events is about to unfold with potentially devastating, and unfathomable, consequences. Just when the frayed strands of Bella's life - first discovered in TWILIGHT, then scattered and torn in NEW MOON and ECLIPSE - seem ready to heal and knit together, could they be destroyed . . . forever? The astonishing, breathlessly anticipated conclusion to the Twilight Saga, Breaking Dawn illuminates the secrets and mysteries of this spellbinding romantic epic that has entranced millions.",5,N/A
Madame Bovary,['Gustave Flaubert'],1978-10-12,[],"A classic novel relating the story of a young country doctor's wife who seeks escape from the boredom of her existence in love affairs and romantic yearnings, and who is doomed to disillusionment.",N/A,N/A
Birthday Letters,['Ted Hughes'],1998,['Poetry'],"English Poet Laureate Ted Hughes's Birthday letters is written to his wife, Sylvia Plath. It explores the two young poets' tumultuous love affair and marriage, a subject which has fascinated the literary world since her suicide in 1963. Written secretly over a period of more than twenty-five years since her death, these poignant verses reveal the psychological drama that led not only to Plath's most powerful poetry, but also to her eventual destruction.",N/A,N/A
The Angel in the House,['Coventry Patmore'],1863,['English poetry'],N/A,N/A,N/A
American Couples,"['Philip Blumstein', 'Pepper Schwartz']",1983,['Family & Relationships'],"An authoritative study of contemporary American couples--married, living together, and homosexual--addresses diverse issues involved in their work, money, and sexual and emotional relationships.",N/A,N/A
The Future of Marriage,['Jessie Bernard'],1972,['Family & Relationships'],"When ""The Future of Marriage"" was published a decade ago it was immediately acclaimed as a classic contribution to the literature of marriage and of sex roles. In it, the eminent sociologist Jessie Bernard argued that in every marriage there are actually two marriages-his and hers-and that sociological data reveals that marriage is more beneficial for men than for women. In a new edition of this pioneering work, Bernard provides a fresh introduction and update showing what has changed and what has remained the same since her book was first published",N/A,N/A
Real Marriage,"['Mark Driscoll', 'Grace Driscoll']",2012,['Family & Relationships'],"Pastor Mark Driscoll and his wife, Grace, talk about sex and marriage in down-to-earth terms, hitting issues other Christian books won't. They share practical help and hope with people just like them--who entered marriage a complete mess, or who are planning to be married someday and want to avoid some sticky pitfalls.",5,N/A
The Viscount Who Loved Me,['Julia Quinn'],2021-04-07,['Fiction'],"A New York Times Bestseller From #1 New York Times bestselling author Julia Quinn comes the story of Anthony Bridgerton, in the second of her beloved Regency-set novels featuring the charming, powerful Bridgerton family, now a series created by Shondaland for Netflix. ANTHONY'S STORY This time the gossip columnists have it wrong. London's most elusive bachelor Anthony Bridgerton hasn't just decided to marry--he's even chosen a wife! The only obstacle is his intended's older sister, Kate Sheffield--the most meddlesome woman ever to grace a London ballroom. The spirited schemer is driving Anthony mad with her determination to stop the betrothal, but when he closes his eyes at night, Kate's the woman haunting his increasingly erotic dreams... Contrary to popular belief, Kate is quite sure that reformed rakes do not make the best husbands--and Anthony Bridgerton is the most wicked rogue of them all. Kate's determined to protect her sister--but she fears her own heart is vulnerable. And when Anthony's lips touch hers, she's suddenly afraid she might not be able to resist the reprehensible rake herself...",N/A,N/A
Northanger Abbey (Jane Austen Collection),['Jane Austen'],2023-03-14,['Fiction'],"Northanger Abbey, by Jane Austen, one of literature's most beloved stories of love, marriage, and social mores, is now available in a fine exclusive collector's edition featuring a laser-cut jacket on a textured book with foil stamping and ribbon marker, making it ideal for fiction lovers and book collectors alike.",N/A,N/A
Northanger Abbey,['Jane Austen'],2012-01-01,['Books and reading'],Classics with legible texts you can actually read at a fantastic price.,N/A,N/A
Lady Windermere's Fan,['Oscar Wilde'],2012-08-22,['Drama'],"'Lady Windermere's Fan' is one of Oscar Wilde's most bitingly satirical plays, and juxtaposes comic sincerity with high flippancy.",N/A,N/A
Emma,['Jane Austen'],2016-08,['Campfire graphic novels'],"""Emma"" is the story of Emma Woodhouse, a young girl from a good home that does not need the financial support of a husband and is determined not to marry. Emma however is not opposed to the idea of marriage for others and is determined to play matchmaker between several of the local citizens. In spite of Emma's resolve not to marry she finds herself attracted to several men throughout the book and considers the prospect of marriage. ""Emma"" is the story of 19th century romance and relationships and is a timeless classic from the era. Will Emma marry or will she remain a single girl? Read this classic and discover for yourself.",N/A,N/A
"To Sir Phillip, with Love",['Julia Quinn'],2021-07-27,['Fiction'],"A New York Times Bestseller From #1 New York Times bestselling author Julia Quinn comes the story of Eloise Bridgerton, in the fifth of her beloved Regency-set novels featuring the charming, powerful Bridgerton family, now a series created by Shondaland for Netflix. ELOISE'S STORY Sir Phillip knew that Eloise Bridgerton was a spinster, and so he'd proposed, figuring that she'd be homely and unassuming, and more than a little desperate for an offer of marriage. Except . . . she wasn't. The beautiful woman on his doorstep was anything but quiet, and when she stopped talking long enough to close her mouth, all he wanted to do was kiss her . . . and more. Did he think she was mad? Eloise Bridgerton couldn't marry a man she had never met! But then she started thinking . . . and wondering . . . and before she knew it, she was in a hired carriage in the middle of the night, on her way to meet the man she hoped might be her perfect match. Except . . . he wasn't. Her perfect husband wouldn't be so moody and ill-mannered, and while Phillip was certainly handsome, he was a large brute of a man, rough and rugged, and totally unlike the London gentlemen vying for her hand. But when he smiled . . . and when he kissed her . . . the rest of the world simply fell away, and she couldn't help but wonder . . . could this imperfect man be perfect for her?",N/A,N/A
How to be Good,['Nick Hornby'],2002,['Fiction'],"According to her own complex moral calculations, Katie Carr has earned her affair. She's a doctor, after all, and doctors are decent people and on top of that, her husband David is the self-styled Angriest Man in Holloway. When David suddenly becomes good however, properly, maddeningly, give-away-all-his-money-good, Katie's sums no longer add up and she is forced to ask herself some very hard questions",2,N/A
Gobseck,['Honore de Balzac'],2014,[],"An extract from Honore de Balzac's sweeping novel cycle The Human Comedy, Gobseck is a novella that recounts the social ascendancy of young Anastasie de Restaud. Born into a wealthy family, Anastasie marries into aristocracy, but soon grows weary of the arcane rituals of her new lifestyle--not to mention her lack of feelings toward her husband. Seeking passion, she makes several bold decisions and quickly finds herself on the road to ruin.",N/A,N/A
Berta Isla,['Javier Marías'],2019,['Fiction'],"Distracted, sullen, and anxious, Berta's new husband has become a stranger to her, and she begins to suspect that his mysterious job at the Foreign Office is responsible. But it's more than just that: Tom0/00as has unwittingly set in motion events that will derail forever the life they had planned.ed.",N/A,N/A
Getting the Love You Want,['Harville Hendrix'],2001,['Family & Relationships'],"I know of no better guide for couples who genuinely desire a maturing relationship.M. Scott Peck, author of The Road Less Traveled A remarkable bookthe most incisive and persuasive I have ever read on the knotty problems of marriage relationships. Ann Roberts, former president, Rockefeller Family Fund",N/A,N/A
Marriage and Sacrament,['Michael G. Lawler'],1993,['Religion'],"At a time in human history when women and men are more concerned about interpersonal relationships and when there is an extensive questioning of the specific relationship between a woman and a man in marriage, Marriage and Sacrament offers an understanding of how to live out the Christ-meaning and Church-meaning of that relationship so that, by living martially and sacramentally, couples can reveal to the world and to the Church the deeper meaning of all human love. The book examines the relationship among love, marriage, and sacrament; it examines the meanings of the sacrament of marriage, its biblical basis, its history and what happens when it comes to an end; it examines sexual love, indissoluble love, fruitful love, and ecumenical love in relationship to both marriage and sacrament. Marriage and Sacrament is an indispensable resource for pastoral ministers and ministry students as well as all who contemplate or are now partners in marriage.",3,N/A
When He Was Wicked,['Julia Quinn'],2021-07-06,['Fiction'],"A New York Times Bestseller From #1 New York Times bestselling author Julia Quinn comes the story of Francesca Bridgerton, in the sixth of her beloved Regency-set novels featuring the charming, powerful Bridgerton family, now a series created by Shondaland for Netflix. FRANCESCA'S STORY In every life there is a turning point. A moment so tremendous, so sharp and breathtaking, that one knows one's life will never be the same. For Michael Stirling, London's most infamous rake, that moment came the first time he laid eyes on Francesca Bridgerton. After a lifetime of chasing women, of smiling slyly as they chased him, of allowing himself to be caught but never permitting his heart to become engaged, he took one look at Francesca Bridgerton and fell so fast and hard into love it was a wonder he managed to remain standing. Unfortunately for Michael, however, Francesca's surname was to remain Bridgerton for only a mere thirty-six hours longer--the occasion of their meeting was, lamentably, a supper celebrating her imminent wedding to his cousin. But that was then . . . Now Michael is the earl and Francesca is free, but still she thinks of him as nothing other than her dear friend and confidant. Michael dares not speak to her of his love . . . until one dangerous night, when she steps innocently into his arms, and passion proves stronger than even the most wicked of secrets . . .",N/A,N/A
Love Without Limits,"['Nick Vujicic', 'Kanae Vujicic']",2016-02-01,[],"The inspiring and romantic story of how bestselling author and motivational speaker Nick Vujicic met and married his soulmate, Kanae.",N/A,N/A
Bridgerton [TV Tie-In],['Julia Quinn'],2020-12,['Fiction'],"From New York Times bestselling author Julia Quinn comes the first novel in the beloved Regency-set world of her charming, powerful Bridgerton family, now a series created by Shonda Rhimes for Netflix. In the ballrooms and drawing rooms of Regency London, rules abound. From their earliest days, children of aristocrats learn how to address an earl and curtsey before a prince--while other dictates of the ton are unspoken yet universally understood. A proper duke should be imperious and aloof. A young, marriageable lady should be amiable...but not too amiable. Daphne Bridgerton has always failed at the latter. The fourth of eight siblings in her close-knit family, she has formed friendships with the most eligible young men in London. Everyone likes Daphne for her kindness and wit. But no one truly desires her. She is simply too deuced honest for that, too unwilling to play the romantic games that captivate gentlemen. Amiability is not a characteristic shared by Simon Basset, Duke of Hastings. Recently returned to England from abroad, he intends to shun both marriage and society--just as his callous father shunned Simon throughout his painful childhood. Yet an encounter with his best friend's sister offers another option. If Daphne agrees to a fake courtship, Simon can deter the mamas who parade their daughters before him. Daphne, meanwhile, will see her prospects and her reputation soar. The plan works like a charm--at first. But amid the glittering, gossipy, cut-throat world of London's elite, there is only one certainty: love ignores every rule... This novel includes the 2nd epilogue, a peek at the story after the story.",5,N/A
Northanger Abbey,['Jane Austen'],1991,['Fiction'],Catherine Morland's sentimental illusions crumble as she enters into adulthood,N/A,N/A
"Sex, Marriage, and Family in World Religions","['Don S. Browning', 'Martha Christian Green', 'John Witte (Jr.)', 'John Witte']",2006,['Family & Relationships'],"This collection brings together writings and teachings about sex, marriage, and family from the Jewish, Christian, Islamic, Hindu, Buddhist, and Confucian traditions. It includes traditional texts as well as contemporary materials showing how the religions have responded to the changing conditions and mores of modern life.",N/A,N/A
The Husband's Secret,['Liane Moriarty'],2013,['Australian fiction'],"Cecilia Fitzpatrick, devoted mother, successful Tupperware business owner and efficient P&C President, has found a letter from her husband.""For my wife, Cecilia FitzpatrickTo be opened only in the event of my death""But Cecilia's husband isn't dead, he's on a business trip. And when she questions him about it on the phone, Cecilia senses something she hasn't experienced before. John-Paul is lying.What happens next changes Cecilia's formerly blissful suburban existence forever, and the consequences will be life-changing for the most unexpected people.",N/A,N/A
The Sexual Life of Savages in North-Western Melanesia,['Bronislaw Malinowski'],1929,['Anthropology'],N/A,N/A,N/A
The Primitive Family in Its Origin and Development,['Carl Nicolai Starcke'],1889,['Anthropology'],N/A,N/A,N/A
One White Rose,['Julie Garwood'],1997,['Fiction'],"Douglas Clayborne arrives at the Grant ranch just in time to help Isabel, alone since the death of her husband, deliver her baby, and when he learns that she is in danger from a bully who has taken over the town of Sweet Creek, he stays to protect her and loses his heart.",N/A,N/A
Zahir,"['Paulo Coelho', 'Zuzanna Bułat Silva']",2005,['Compulsive behavior'],N/A,N/A,N/A
The Heart of the Matter,['Graham Greene'],2004-09-28,['Fiction'],"""Graham Greene centennial 1904-2004""--Cover.",N/A,N/A
Jude the Obscure,['Thomas Hardy'],1996,['Fiction'],Jude Fawley's aspirations to the dignity and rewards of a scholarly life are continually thwarted by tragic obstacles of fate,N/A,N/A
Tears of the Oppressed,['Aviad Hacohen'],2004,['Law'],Background -- A word of caution -- Attitudes of compassion and leniency -- Relaxation of the laws of evidence concerning agunot : example of a methodology favoring leniency -- The uniqueness of the problem in our day -- The basic sources for kiddushei ta'ut -- The rishonim and the codes : stringent and lenient approaches -- The responsa literature -- General principles to be derived from the precedents.,N/A,N/A
Marriage: East and West,"['David Robert Mace', 'Vera Mace']",1960,['Marriage'],N/A,N/A,N/A
Marriage and Morals in Islam,['Sayyid Muhammad Rizvi'],2013-12-14,['Religion'],"This book is one of the many Islamic publications distributed by Ahlulbayt Organization throughout the world in different languages with the aim of conveying the message of Islam to the people of the world. You may read this book carefully and should you be interested to have further study on such publications you can contact us through www.shia.es Naturally, if we find you to be a keen and energetic reader we shall give you a deserving response in sending you some other publications of this Organization.",N/A,N/A
