title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Pincher Martin,['William Golding'],1956,['English fiction'],"Drowning in the freezing North Atlantic, Christopher Hadley Martin, temporary lieutenant, happens upon a grotesque rock, an island that appears only on weather chart. Through the long hours with only himself to talk to, Martin must try to assemble the truth of his fate, piece by terrible piece.",N/A,N/A,en
Life of Pi,['Yann Martel'],2001,['Adventure stories'],"After the sinking of a cargo ship, a solitary lifeboat remains bobbing on the wild blue Pacific. The only survivors from the wreck are a sixteen-year-old boy named Pi, a hyena, a wounded zebra, an orangutan, and a 450-pound Royal Bengal tiger.",N/A,N/A,en
Between Shades of Gray,['Ruta Sepetys'],2011,['Labor camps'],"In 1941, fifteen-year-old Lina, her mother, and brother are pulled from their Lithuanian home by Soviet guards and sent to Siberia, where her father is sentenced to death in a prison camp while she fights for her life, vowing to honor her family and the thousands like hers by burying her story in a jar on Lithuanian soil. Based on the author's family, includes a historical note.",N/A,N/A,en
Goat Days,"['Benyāmin', 'Benyamin Benyamin']",2016,['Alienation (Philosophy)'],"Now in paperback, Benyamin's wry and tender telling transforms the strange and bitter comedy of Najeeb's life in the desert into a universal tale of loneliness and alienation. In the southern Indian state of Kerala, Najeeb's dearest wish is to work in a Persian Gulf country and earn enough money to send some back home. One day, he finally achieves this dream, only to be propelled by a series of incidents--grim and absurd--into a slave-like existence, herding goats in the middle of the Saudi desert. Memories of his loving family and of the lush, verdant landscape of his village haunt Najeeb, whose only solace is the companionship of goats. In the end, the lonely young man is forced to contrive a hazardous scheme to escape his desert prison. An instant bestseller in India, Goat Days is available for the first time in English, translated by Joseph Koyippally. Benyamin is a brilliant new talent of Malayalam literature and his wry and tender telling transforms the strange and bitter comedy of Najeeb's life in the desert into a universal tale of loneliness and alienation.",N/A,N/A,en
Milk and Honey,['Rupi Kaur'],2018-08-28,"['Body, Mind & Spirit']","A hardcover gift edition of Milk and Honey, the #1 New York Times bestselling poetry and prose collection by Rupi Kaur, which has sold over 3 million copies worldwide. Milk and Honey is a collection of poetry and prose about survival. About the experience of violence, abuse, love, loss, and femininity. This clothbound edition features deckled edge paper, a woven ribbon marker, and a foreword written by the author. The book is divided into four chapters, and each chapter serves a different purpose. Deals with a different pain. Heals a different heartache. Milk and Honey takes readers through a journey of the most bitter moments in life and finds sweetness in them because there is sweetness everywhere if you are just willing to look.",5,N/A,en
The Hunger Games (Deluxe Edition),['Suzanne Collins'],2025-02-04,['Young Adult Fiction'],"A stunning deluxe edition of The Hunger Games, the international bestseller! This paperback edition features gorgeous sprayed edges with stenciled artwork and an iconic new cover. This is a breathtaking collectible perfect for the long-time fan or new Hunger Games reader. Even at the age of sixteen, Katniss Everdeen knows it takes hard work, keen observation, and inner fortitude to survive in the world. Her home, District 12, is under the merciless rule of the Capitol, continually forced to pay after losing a long-ago civil war in the nation of Panem. One of the ways the Capitol keeps control is its annual Hunger Games, a televised fight to the death featuring two young tributes from each of Panem's twelve districts. This gruesome battle is meant to send home a chilling message: Rebellion will always be punished. When Katniss finds herself within the Hunger Games arena, she knows the odds aren't in her favor. Any wrong move will end her life--and even the right moves come with a cost. But if she can survive, there is a chance the districts may survive as well... The Hunger Games has enthralled millions of readers in its examination of the price of war, human nature, and the powerful force of both love and resistance.",N/A,N/A,en
Fantastic Mr. Fox,['Roald Dahl'],2009,"[""Children's stories""]","Dahl's ""Fantastic Mr. Fox"" comes to the big screen on November 13th in a stop-motion animated feature film from 20th Century Fox, starring George Clooney, Cate Blanchett, and Bill Murray. This novel features an 8-page full-color insert of scenes from the movie.",N/A,N/A,en
"The Life and Strange Surprizing Adventures of Robinson Crusoe of York, Mariner",['Daniel Defoe'],1976,['Fiction in English'],N/A,N/A,N/A,en
The Island of Doctor Moreau,['H. G. Wells'],2007-01,['Foreign Language Study'],"The story centers on the depraved Dr. Moreau, who conducts experiments on a tropical island, with hideous, humanlike results. Edward Prendick, an English-man whose misfortunes bring him to the island, is witness to the Beast Folk’s strange civilization and their eventual terrifying regression. While gene-splicing and bioengineering are common practices today, readers are still astounded at Wells’s haunting vision and the ethical questions he raised a century before the time.",N/A,N/A,en
As Long as the Lemon Trees Grow,['Zoulfa Katouh'],2024-03-26,['Young Adult Fiction'],"A love letter to Syria and its people, As Long as the Lemon Trees Grow is a speculative novel set amid the Syrian Revolution, burning with the fires of hope, love, and possibility. Perfect for fans of The Book Thief and Salt to the Sea. Salama Kassab was a pharmacy student when the cries for freedom broke out in Syria. She still had her parents and her big brother; she still had her home. She had a normal teenager's life. Now Salama volunteers at a hospital in Homs, helping the wounded who flood through the doors daily. Secretly, though, she is desperate to find a way out of her beloved country before her sister-in-law, Layla, gives birth. So desperate, that she has manifested a physical embodiment of her fear in the form of her imagined companion, Khawf, who haunts her every move in an effort to keep her safe. But even with Khawf pressing her to leave, Salama is torn between her loyalty to her country and her conviction to survive. Salama must contend with bullets and bombs, military assaults, and her shifting sense of morality before she might finally breathe free. And when she crosses paths with the boy she was supposed to meet one fateful day, she starts to doubt her resolve in leaving home at all. Soon, Salama must learn to see the events around her for what they truly are--not a war, but a revolution--and decide how she, too, will cry for Syria's freedom.",N/A,N/A,en
