title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Kensuke's Kingdom,['Michael Morpurgo'],2003,['Juvenile Fiction'],"A spellbinding tale of survival and self-discovery from award-winning author Michael Morpurgo, who is poised for breakthrough U.S. success. When Michael's parents lose their jobs, they buy a boat and decide to sail around the world with their son and their beloved dog. It's an ideal trip - until Michael is swept overboard. He's washed up on an island, where he struggles to survive. Then he discovers that he's not alone. His fellow-castaway, Kensuke, keeps his distance at first. But when Michael's life is threatened, he slowly lets the boy into his world. The two teach and learn from each other until, inevitably, they must part ways.",4.5,N/A,en
The Comedie of Errors,['William Shakespeare'],1998,['Drama'],"(Applause Books). If there has ever been a groundbreaking edition that likewise returns the reader to the original Shakespeare text, it will be THE APPLAUSE FOLIO TEXTS. If there has ever been an accessible version of the Folio, it is this edition, set for the first time in modern fonts. The Folio is the source of all other editions. The Folio text forces us to re-examine the assumptions and prejudices which have encumbered over four hundred years of scholarship and performance. Notes refer the reader to subsequent editorial interventions, and offer the reader a multiplicity of interpretations. Notes also advise the reader on variations between Folios and Quartos. Prepared and annotated by Neil Freeman, Head, Graduate Directing Program, University of British Columbia.",N/A,N/A,en
Twelfth Night,['William Shakespeare'],2007-01-01,['Literary Criticism'],"Twins Viola and Sebastian are shipwrecked. Believing her brother drowned, and determined to survive alone, Viola disguises herself as a boy. As 'Cesario' she enters the service of Orsino and is sent by him to woo Olivia. But Olivia isn't interested and 'Cesario' is swept into a merry-go-round world of unrequited love, mistaken identities, high comedy, low tricks and desperate passion. --Publisher.",3.5,N/A,en
Dune,['Frank Herbert'],1965,['Fiction'],Paul Atreides moves with his family to the planet Dune and is forced into exile when his father's government is overthrown. The first book in the series. Copyright © Libri GmbH. All rights reserved.,5,N/A,en
The Swiss Family Robinson,['Johann David Wyss'],1882,['Castaways'],N/A,N/A,N/A,en
The Hunger Games,['Suzanne Collins'],2008,['Juvenile Fiction'],"By winning the Hunger Games, Katniss and Peeta have secured a life of safety and plenty for themselves and their families, but because they won by defying the rules, they unwittingly become the faces of an impending rebellion. |",4.5,N/A,en
Adventures of Robinson Crusoe,['Daniel Defoe'],1908,['Castaways'],N/A,N/A,N/A,en
Robinson Crusoe,['Daniel Defoe'],1966,['Juvenile Fiction'],"Daniel Defoe's enthralling story-telling and imaginatively detailed descriptions have ensured that his fiction masquerading as fact remains one of the most famous stories in English literature. On one level a simple adventure story, the novel also raises profound questions about moral andspiritual values, society, and man's abiding acquisitiveness. This new edition includes a scintillating Introduction and notes that illuminate the historical context.",N/A,N/A,en
La Isla Misteriosa,['Jules Verne'],2007-11,['Juvenile Fiction'],"Aimed at young readers, this adventure-themed collection of adapted classic books will entertain youngsters with characters and storylines that seek to foster their love for reading. These classics are a great way for young readers to start building their very own library. Orientado al p�blico infantil-juvenil, esta colecci�n de obras cl�sicas de aventura busca entretener a lectores j�venes con personajes e historias que fomentar�n su amor por la lectura. Estos libros cl�sicos son la manera perfecta para que los j�venes empiecen su propia biblioteca.",N/A,N/A,es
The Mysterious Island,['Jules Verne'],2024-04-23,['Juvenile Fiction'],"A stolen hot air balloon lands an unlikely crew on a mysterious island far from everything they know in this action-packed Jules Verne classic—now with an arresting new look! Five prisoners of war steal a hot air balloon and escape capture in Virginia during the American Civil War. They fly for several thousand miles before a storm forces them to crash land on an unknown island in the Pacific. There, the marooned men must work together to pool all their knowledge and skill if they wish to survive. But the island has its secrets, and the castaways discover it’s not as deserted as they thought. A mysterious figure has been watching them. Does it bring salvation or even more danger?",N/A,N/A,en
