title,authors,publishedDate,categories,description,averageRating,textSnippet,language
The Vanishing Point,['Elizabeth Brundage'],2021-05-18,[],"At Rye Adler's funeral, they didn't bury his body -- or his rivalry: A gripping literary thriller by the author of the ""wrenching and exhilarating"" All Things Cease to Appear (Wall Street Journal) Success hasn't come easily to photographer, Julian Ladd, even though, twenty years ago, he attended the exclusive Brodsky Workshop, from where his roommate, Rye Adler, soared straight to the top. But success isn't always what it seems, and underneath all the adulation Adler feels like a sell-out. When an ex-lover appears out of the blue, asking for help only Adler can give, he embarks on an emotional odyssey to right the wrongs of his past, one that forces him to abandon his role as an objective observer of the rich and famous, and enter a broken landscape in search of the very thing he's lost: himself.",N/A,N/A,en
Even Though I Knew the End,['Chelsea L. Polk'],2022,['Chicago (Ill.)'],"""C. L. Polk turns their considerable powers to a fantastical noir with Even Though I Knew the End. ""Stylish supernatural noir with a heart and a thrumming pulse. I devoured it.""-Laini Taylor A magical detective dives into the affairs of Chicago's divine monsters to secure a future with the love of her life. This sapphic period piece will dazzle anyone looking for mystery, intrigue, romance, magic, or all of the above. An exiled augur who sold her soul to save her brother's life is offered one last job before serving an eternity in hell. When she turns it down, her client sweetens the pot by offering up the one payment she can't resist-the chance to have a future where she grows old with the woman she loves. To succeed, she is given three days to track down the White City Vampire, Chicago's most notorious serial killer. If she fails, only hell and heartbreak await""--",N/A,N/A,en
Where All Light Tends to Go,['David Joy'],2016-02-02,['Fiction'],"The world Jacob McNeely lives in is crueller than most. His father runs a methodically organised meth ring, with local authorities on the dime to turn a blind eye to his dealings. Having dropped out of high school, Jacob has been working for this father for years, all on the promise that his payday will come eventually. But when a fatal mistake changes everything, he's faced with a choice: stay and appease his father, or leave the mountains with the girl he loves. The propulsive story of a young man seeking redemption from life amongst the meth labs of North Carolina.",N/A,N/A,en
Black Paintings,['Stephanie Rosenthal'],2006,['Noir'],"Cet ouvrage a été publié à l'occasion de l'exposition ""Black Paintings"" / Haus der Kunst, Munich, 15 septembre 2006 - 14 janvier 2007. Cette exposition rassemblait des peintures noires, plus ou moins monochromes, réalisées par les quatre artistes suivants : Robert Rauschenberg, Ad Reinhardt, Mark Rothko, Frank Stella.",N/A,N/A,en
