title,authors,publishedDate,categories,description,averageRating,textSnippet
Witness for the Prosecution,['Agatha Christie'],1983,['Fiction'],"A murder trial takes a diabolical turn when the wife of the accused takes a stand...A woman's sixth--and a loaded revolver--signal premonitions of doom...A stranded motorist seeks refuge in a remote mansion, and is greeted with a dire warning...Detective Hercule Poirot faces his greatest challenge when his services are enlisted--by the victim--in a bizarre locked-room murder. From the stunning title story (which inspired the classic film thriller) to the rarest gems in detective fiction, these 11 tales of baffling rime and brilliant deduction showcase Agatha Christie at her dazzling best.",N/A,N/A
The Case-book of Sherlock Holmes,['Arthur Conan Doyle'],2007-02,['Detective and mystery stories'],"The greatest detective of them all is back... 'Mr Sherlock Holmes, the well-known private detective, was the victim of a murderous assault this morning which has left him in a precarious position'. When an assassination attempt is made on the great detective's life it seems that no one can escape the death and dread which blights Britain...",N/A,N/A
The War of the Worlds,['Herbert George Wells'],2005,['American fiction'],Humans battle evil aliens to save Earth and its people from certain doom when the Martians land in England.,N/A,N/A
The Return of the Native,['Thomas Hardy'],1959-07,['Fiction'],This Second Edition reprints the text of the authoritative 1912 Macmillan Wessex Edition.,N/A,N/A
Jungle Book,['Rudyard Kipling'],N/A,['Adventure'],N/A,N/A,N/A
Sons and Lovers,['David Herbert Lawrence'],1977,['Fiction'],A provocative portrait of an artist torn between love for his possessive mother and desire for two young beautiful women. It is also the story of Paul Morel's growing into manhood torn by both inner and outer conflict.,N/A,N/A
"Childhood, Boyhood, and Youth",['Leo Tolstoy'],1991-10-15,['Fiction'],A moving portrait of life amid the 19th century Russian gentry as seen through the penetrating eyes of a young man.,N/A,N/A
Watership Down,['Richard Adams'],1973,['Fiction'],"Heroic rabbits trek from their poisoned warren to a new home. Long, complex and totally absorbing.",5,N/A
Dr Jekyll and Mr Hyde,['Robert Louis Stevenson'],2001,"[""Children's stories""]","This abridged classic shows the struggle between good and evil that Dr. Jekyll faced, and how in the end, his own good nature was overpowered by the evil in himself. It is one of a series of shortened classic stories ranging from chilling tales to gripping adventures.",N/A,N/A
Moby-Dick,['Herman Melville'],1981,['Fiction'],"For this Sesquicentennial Norton Critical Edition, the Northwestern-Newberry text of Moby-Dick has been generously footnoted to include dozens of biographical discoveries, mainly from Hershel Parker's work on his two-volume biography of Melville.",N/A,N/A
"The Hobbit, Or, There and Back Again",['John Ronald Reuel Tolkien'],2003,['Fiction'],"Bilbo Baggins, the hobbit, is a peaceful sort who lives in a cozy hole in the Shire, a place where adventures are uncommon - and rather unwanted. So when the wizard Gandalf whisks him away on a treasure-hunting expedition with a troop of rowdy dwarves, he's not entirely thrilled. Encountering ruthless trolls, beastly orcs, gigantic spiders, and hungry wolves, Bilbo discovers within himself astonishing strength and courage. And at the ultimate confrontation with the fearsome dragon Smaug, the hobbit will brave the dangers of the dark and dragon fire alone and unaided.",5,N/A
The Invisible Man,['H. G. Wells'],2015-09,['Fiction'],"H. G. Wells's tale of the mad scientist who discovers the secret of invisibility and wields its awesome power to his own ends. Classics Illustrated tells this wonderful tale in colorful comic strip form, providing an excellent introduction for younger readers. Also includes theme discussions and study questions.",N/A,N/A
Robinson Crusoe,['Daniel Defoe'],2001,['Juvenile Fiction'],"Storm, shipwreck, pirates, and mutiny are the timeless themes of this recreated classic. The action-packed story lines retain all the impact of the author's own words, while photos and narrative illustrations help readers to absorb the full flavor of the original novel. Full color. Copyright © Libri GmbH. All rights reserved.",4,N/A
Hans Brinker,[],1988,['Juvenile Fiction'],"A Dutch boy and girl work toward two goals, finding the doctor who can restore their father's memory and winning the competition for the silver skates.",N/A,N/A
The Time Machine,['H. G. Wells'],1949,['English fiction'],The first time traveler's explores the future and encounters the peaceful Eloi and the dreaded Morlocks.,N/A,N/A
A Study in Scarlet,['Arthur Conan Doyle'],2010,['Classic'],"This is a beautifully-designed new edition of Sir Arthur Conan Doyle's novel, ""A Study in Scarlet,"" which marked the very first appearance of Sherlock Holmes.",N/A,N/A
Fire Down Below,['William Golding'],1990,['Australia'],"The final part of Golding's 'Sea Trilogy'. A decrepit man-of-war is on the last stretch of its voyage to Sydney, blown off course and battered by wind, storm and ice. After a risky operation to reset its foremast with red-hot metal, an unseen fire is smouldering below decks.",N/A,N/A
Brighton Rock,['Graham Greene'],1977,['Fiction'],Penguin celebrates the centennial of Graham Greene's birth with commemorativeeditions of his greatest works.,N/A,N/A
The Remains of the Day,['Kazuo Ishiguro'],1993,['Fiction'],"Kazuo Ishiguro's Booker Prize-winning masterpiece became an international bestseller on publication, was adapted into an award-winning film, and has since come to be regarded as a modern classic. The Remains of the Day is a spellbinding portrayal of a vanished way of life and a haunting meditation on the high cost of duty. It is also one of the most subtle, sad and humorous love stories ever written. It is the summer of 1956, when Stevens, a man who has dedicated himself to his career as a perfect butler in the one-time great house of Darlington Hall, sets off on a holiday that will take him deep into the English countryside and, unexpectedly, into his own past, especially his friendship with the housekeeper, Miss Kenton. As memories surface of his lifetime in service to Lord Darlington, and of his life between the wars, when the fate of the continent seemed to lie in the hands of a few men, he finds himself confronting the dark undercurrent beneath the carefully run world of his employer.",N/A,N/A
The Blind Assassin,['Margaret Atwood'],2000,['Canada'],"'Ten days after the war ended, my sister Laura drove a car off a bridge.' Thus begins THE BLIND ASSASSIN, Margaret Atwood's stunning new novel. Laura Chase's older sister Iris, married at eighteen to a politically prominent Industrialist but now poor and eighty-two, is living in Port Ticonderoga, a town dominated by their once-prosperous family before the First War. While coping with her unreliable body, Iris reflects on her far from exemplary life, in particular the events surrounding her sister's tragic death. Chief among these was the publication of THE BLIND ASSASSIN, a novel which earned the dead Laura Chase not only notoriety but also a devoted cult following: as Iris says, she herself lives 'in the long shadow cast by Laura'. Sexually explicit for its time, THE BLIND ASSASSIN describes a risky affair in the turbulent thirties between a wealthy young woman and a man on the run. During their secret meetings in rented rooms, the lovers concoct a pulp fantasy set on the Planet Zycron. As the invented story twists through love and sacrifice and betrayal, so does the real one, as events in both move closer to war and catastrophe. By turns lyrical, outrageous, formidable, compelling and funny, this is a novel filled with deep humour and dark drama. It is Margaret Atwood at her breathtaking best.",N/A,N/A
Much Ado about Nothing,['William Shakespeare'],1963,['Classic'],N/A,N/A,N/A
Mansfield Park,['Jane Austen'],1988-01-01,['Fiction'],"Shy, poor Fanny Price is sent to live with Sir Thomas and Lady Bertram at Mansfield Park.",N/A,N/A
Tai-Pan,['James Clavell'],1966,['American fiction'],"Dirk Straun, a pirate, smuggler, and ruthless individual, finds glory beyond his dreams as the Tai-Pan, or supreme leader, of Hong Kong.",2,N/A
The Jungle Book,['Rudyard Kipling'],2009,['Classic'],An illustrated abridged adaptation of Rudyard Kipling's The jungle book featuring three stories about Mowgli's adventures in an Indian jungle.,N/A,N/A
The Red Badge of Courage,['Stephen. Crane'],1990-10-21,['Fiction'],The finest literature in the world is now accessible to new readers!,N/A,N/A
The Burnt Ones,['Patrick White'],1968,['Fiction'],N/A,N/A,N/A
Captains Courageous,['Rudyard Kipling'],1897,['Adventure stories'],Portugese fisherman teaches human values to a spoiled young millionaire's son who was saved from drowning.,5,N/A
King Solomon's Mines,['H. Rider Haggard'],1993,['Fiction'],"""On board a ship bound for Natal, adventurer Allan Quatermain meets Sir Henry Curtis and Captain John Good. His new friends have set out to find Sir Henry's younger brother, who vanished while seeking King Solomon's legendary diamond mines in the African interior. By strange chance, Quatermain has a map to the mines, drawn in blood, and agrees to join the others on their perilous journey. The travellers face many dangers on their quest - the baking desert heat, the hostile lost tribe they discover and the evil 'wise woman' who holds the secret of the diamond mines.""--BOOK JACKET.",4,N/A
Black Beauty,['Anna Sewell'],1995,['Animal welfare'],A horse in nineteenth-century England recounts his experiences with both good and bad masters.,N/A,N/A
A christmas carol,['Charles Dickens'],1990,['classic'],N/A,N/A,N/A
The Body in the Library,['Agatha Christie'],1981-07,['Detective and mystery stories'],"A BBC Radio full-cast dramatization starring June Whitfield as the sharp-witted spinster sleuth, Miss Marple. Dolly Bantry, mistress of Gossington Hall, is enjoying a pleasant doze when suddenly her dreams take a strange turn. The housemaid Mary is telling her that there is a body in the library. As she wakes up, it turns out to be true... But who is the strange young blonde sprawled on the library floor? Enter St. Mary Mead's resident sleuth, Miss Mary Marple.",N/A,N/A
The Metamorphosis,"['Franz Kafka', 'Stanley Corngold']",1981,['Classic'],For use in schools and libraries only. Writings by and about Kafka and textual notes accompany his translations of his early 20th-century work.,N/A,N/A
Selected Short Stories,['David Herbert Lawrence'],1982,['Fiction'],"Seven of the best Lawrence stories, each turning on some facet of sexual feeling, attitude, or convention: ""The Prussian Officer,"" ""The Shadow in the Rose Garden,"" ""The White Stocking,"" ""Daughters of the Vicar,"" ""The Christening,"" more.",N/A,N/A
Rebecca,['Daphne Du Maurier'],1975,['Fiction'],"An innocent young woman marries an older widower and tries to carve a place for herself at his family estate, dominated by the bitter memories of his first wife, Rebecca.",5,N/A
The Sherlock Holmes Book,[],2015,['Classic'],No Marketing Blurb,N/A,N/A
The Castle,['Franz Kafka'],1954,['Authority'],Surrealistic novel whose shadowy characters and obscure events are said to reflect the condition of man in modern society.,N/A,N/A
Ivanhoe,['Sir Walter Scott'],1964,['English literature'],Sir Walter Scott's novel of courage and honour in which young nobleman Ivanhoe returns from the Crusades to claim his inheritance and the love of Rowena.,N/A,N/A
Puck of Pook's Hill,['Rudyard Kipling'],1987-01,['Magic'],A comical little fairy and his friends amuse two imaginative children with tales of yore.,N/A,N/A
Chance,['Joseph Conrad'],1985,['Classic'],"First published in 1913, Chance was Conrad's first popular success. It is a deeply revealing portrait of a woman in conflict that shows Conrad's literary powers at their utmost.",N/A,N/A
Bridge to Terabithia,['Katherine Paterson'],2007,['Classic'],"It was Leslie who invented Terabithia - the secret country on an island in the dry creek. Here Jess could be strong, unafraid and unbeatable. So when something terrible happens, Jess finds he can face grief and disaster better than he could ever have imagined. Now a major motion picture.",N/A,N/A
Lonesome Traveler,['Jack Kerouac'],2000,['Fiction'],"As he roams the US, Mexico, Morocco, Paris and London, Kerouac records life on the road in prose of pure poetry. Standing on the engine of a train as it rushes past fields of prickly cactus; witnessing his first bullfight in Mexico while high on opium; meditating on a sunlit roof in Tangiers or falling in love with Montmartre - Kerouac reveals both the endless diversity of human life and his own particular philosophy of self-fulfillment.",N/A,N/A
Captains Courageous,['Rudyard Kipling'],1897,['Adventure stories'],Portugese fisherman teaches human values to a spoiled young millionaire's son who was saved from drowning.,N/A,N/A
The Murder at Hazelmoor,['Agatha Christie'],1984,['Classic'],"When a parlor game pronounces Captain Trevelyan dead, the guests become nervous. When the body is discovered, the game becomes an eerie and baffling murder case.",N/A,N/A
Sense and Sensibility,['Jane Austen'],1985,['Fiction'],"The story of two sisters - Elinor who has the sense, and Marianne who has the sensibility - and their unfortunate love affairs.",N/A,N/A
Dead Poets Society,['N. H. Kleinbaum'],1989-01,['Fiction'],"Inspired by their new, unconventional teacher, a group of private boys' school students discovers the joys of literature and the rewards--and challenges--of expressing their individuality",5,N/A
The Reluctant Fundamentalist,['Mohsin Hamid'],2007,['New York (N.Y.)'],"At a cafe table in Lahore, a Pakistani man begins the tale that has led to his fateful meeting with an uneasy American stranger... Changez is living an immigrant's dream of America. He thrives on the energy of New York, his work at an elite firm, and his budding relationship. For a time, it seems that nothing will stand in the way of his meteoric rise to success. But in the wake of September 11, Changez finds his relationship crumbling and his exalted status overturned. Allegiances are subsequently unearthed, proving themselves more fundamental than money, power and maybe even love.",N/A,N/A
The Wind in the Willows,['Kenneth Grahame'],1925,['Juvenile Fiction'],"Since its publication in 1908, Kenneth Grahame's The Wind in the Willows has enchanted readers, young and old. This new edition, sensitively abridged and exquisitely illustrated by Inga Moore, is sure to win over a new generation of fans. Here readers will meet the amiable Mole, his hearty friend the Water Rat, the genial Badger, and, of course, the irrepressible Mr. Toad, and enjoy some of the most memorable adventures in children's literature. Classic, yet accessible, and full of humor, this beautiful volume is the perfect addition to every family's bookshelf. Book jacket.",N/A,N/A
The Murder at Hazelmoor,['Agatha Christie'],1984,['Classic'],"When a parlor game pronounces Captain Trevelyan dead, the guests become nervous. When the body is discovered, the game becomes an eerie and baffling murder case.",N/A,N/A
The Man in the Iron Mask,['Alexandre Dumas'],1998-05-21,['Fiction'],"One of France's best-selling writers at the time of the novel's composition, Dumas here combines what he considered to be life's essentials - `l'action et l'amour'. This historical romance is the climax of his epic of chivalry and valour that began with The Three Musketeers, and it is here that Athos, Porthos, Aramis, and their friend d'Artagnan, once invincible, meet their destinies. This edition provides background information and notes crucial to an understanding of the legend and the novel's setting. - ;One of France's best-selling writers at the time of the novel's composition, Dumas here combines what he considered to be life's essentials - `l'action et l'amour'. This historical romance is the climax of his epic of chivalry and valour that began with The Three Musketeers, and it is here that Athos, Porthos, Aramis, and their friend d'Artagnan, once invincible, meet their destinies. This edition provides background information and notes crucial to an understanding of the legend and the novel's setting. -",4.5,N/A
Mansfield Park,['Jane Austen'],1992,['Classic'],N/A,N/A,N/A
Cards on the Table,['Agatha Christie'],1964-01,['Classic'],A dinner party in which every invited guest was a murderer keeps Detective Poirot alert.,N/A,N/A
Great Expectations,['Charles Dickens'],1960,[],N/A,N/A,N/A
Island,['Aldous Huxley'],1989,['Classic'],"In Island, his last novel, Huxley transports us to a Pacific island where, for 120 years, an ideal society has flourished. Inevitably, this island of bliss attracts the envy and enmity of the surrounding world. A conspiracy is underway to take over Pala and events begin to move when an agent of the conspirators, a newspaperman named Faranby, is shipwrecked there. What Faranby doesn't expect is how his time with the people of Pala will revolutionize all his values and -- to his amazement -- give him hope.",N/A,N/A
White Fang,['Jack London'],1994,['Juvenile Fiction'],N/A,N/A,N/A
The Wizard of Oz,['Lyman Frank Baum'],1956,['Juvenile Fiction'],"After a cyclone transports her to the land of Oz, Dorothy must seek out the great wizard in order to return to Kansas.",N/A,N/A
A High Wind in Jamaica,['Richard Hughes'],1963,['Children'],N/A,N/A,N/A
The Way of All Flesh,['Samuel Butler'],1966,['Fiction'],Roman.,N/A,N/A
The Return of the Native,['Thomas Hardy'],1980,['Classic'],"Set in the vast, brooding heartlands of England, it lays bare the frailties of human love.",N/A,N/A
The Little Minister,['James Matthew Barrie'],1981,['Fiction'],"Book Excerpt: long, Jim,"" and sank.A month afterwards Margaret sold her share in the smack, which was all Adam left her, and the furniture of the house was rouped. She took Gavin to Glasgow, where her only brother needed a housekeeper, and there mother and son remained until Gavin got his call to Thrums. During those seventeen years I lost knowledge of them as completely as Margaret had lost knowledge of me. On hearing of Adam's death I went back to Harvie to try to trace her, but she had feared this, and so told no one where she was going.According to Margaret, Gavin's genius showed itself while he was still a child. He was born with a brow whose nobility impressed her from the first. It was a minister's brow, and though Margaret herself was no scholar, being as slow to read as she was quick at turning bannocks on the girdle, she decided, when his age was still counted by months, that the ministry had need of him. In those days the first question asked of a child was not, ""Tell me your name,"" but ""What arRead More",N/A,N/A
Hans Brinker,"['Mary Mapes Dodge', 'Hans Christian Anderson']",1945,['Juvenile Fiction'],"A Dutch boy and girl work toward two goals, finding the doctor who can restore their father's memory and winning the competition for the silver skates.",N/A,N/A
The Slave,['Isaac Bashevis Singer'],1968,['American fiction'],N/A,N/A,N/A
The Grapes of Wrath,['John Steinbeck'],1975,['English fiction'],"A novel concerning the plight of the Okies - the refugee farmers and sharecroppers fleeing the dustbowl of Oklahoma. Attracted by the golden promise of California, they meet only with abject hostility, shame and destitution.",N/A,N/A
Kidnapped,['Robert Louis Stevenson'],1886,['Large type books'],"Set in the aftermath of the Jacobite Rebellion of 1745. The story is told by David Balfour, a young Whig and Lowlander, who is tricked by his miserly uncle, survives attempted murder, kidnap and shipwreck and, in the company of Alan Breck, a Jacobite, escapes through the Highlands.",N/A,N/A
The Bell Jar,['Sylvia Plath'],1981,['Fiction'],The heartbreaking story of a talented young woman who descends into madness.,N/A,N/A
Herzog,['Saul Bellow'],1978,[],N/A,N/A,N/A
Fathers and Sons,['Ivan Sergeevich Turgenev'],1900,['Classic'],N/A,N/A,N/A
The Phantom of the Opera,"['Gaston Leroux', 'Doris Dickens']",1988,[],Love of a disfigured musical genius for a beautiful singer. Adapted for children.,N/A,N/A
The Master of Ballantrae,['Robert Louis Stevenson'],1984,[],N/A,N/A,N/A
Goodnight Mister Tom,['Michelle Magorian'],1996-01,"['World War, 1939-1945']","Willie Beech is evacuated to the countryside as the Second World War breaks out. A sad, deprived child, he slowly begins to flourish under the care of old Tom Oakley. But then his mother summons him back to war-torn London... Will he ever see Mister Tom again? One of the best stories about wartime ever written.",5,N/A
The Complete Illustrated Works of Lewis Carroll,['Lewis Carroll'],1982,['Alice (Fictitious character : Carroll)'],N/A,N/A,N/A
Close Range,['Annie Proulx'],1999,['Fiction'],"Collection of short stories about loneliness, quick violence, and the wrong kinds of love.",N/A,N/A
"Frankenstein, ou",[],1964,[],N/A,N/A,N/A
Inside the Whale and Other Essays,['George Orwell'],1962,['English literature'],N/A,N/A,N/A
Death Comes as the End,['Agatha Christie'],1972,['Classic'],"Nearly 4,000 years ago in Egypt, Nofret, the beautiful concubine,was murdered. The possible murderers in the master's family were the next to die.",N/A,N/A
Point Counter Point,['Aldous Huxley'],1985-04,['Classic'],"A brilliant social satire, it's also been called the Vanity Fair for the Twenties: the dilettantes who frequent Lady Tantamount's society parties engage in dazzling and witty conversations in these wickedly funny portraits of D.H. Lawrence, Katherine Mansfield, Ottoline Morrell and Huxley himself.",N/A,N/A
Tarzan and the Foreign Legion,['Edgar Rice Burroughs'],1975-01-01,['Fiction in English'],N/A,N/A,N/A
The Deerslayer,['James Fenimore Cooper'],1963-08,['American fiction'],"The deadly crack of a long rifle and the piercing cries of Indians on the warpath shatter the serenity of beautiful lake Glimmerglass. Danger has invaded the vast forests of upper New York State as Deerslayer and his loyal Mohican friend Chingachgook attempt the daring rescue of an Indian maiden imprisoned in a Huron camp. Soon they are caught in the crossfire between a cunning enemy and two white bounty hunters who mercilessly kill for profit. The last of the Leatherstocking tales to be written, though first in the chronology of the hero's life, ""The Deerslayer"" is James Fenimore Cooper's masterpiece. A fine combination of romance, adventure, and morality; this classic novel of the frontier is an eloquent beginning for Cooper's great wilderness saga--and an unforgettable introduction to the famous character who has said to embody the conscience of America: the noble woodsman Deerslayer.",N/A,N/A
