title,authors,publishedDate,categories,description,averageRating,textSnippet
Nineteen Eighty-four,['George Orwell'],2000,['English fiction'],"George Orwell's dystopian masterpiece, Nineteen Eighty-Four is perhaps the most pervasively influential book of the twentieth century, published with an introduction by Ben Pimlott in Penguin Modern Classics. 'Who controls the past controls the future: who controls the present controls the past' Hidden away in the Record Department of the sprawling Ministry of Truth, Winston Smith skilfully rewrites the past to suit the needs of the Party. Yet he inwardly rebels against the totalitarian world he lives in, which demands absolute obedience and controls him through the all-seeing telescreens and the watchful eye of Big Brother, symbolic head of the Party. In his longing for truth and liberty, Smith begins a secret love affair with a fellow-worker Julia, but soon discovers the true price of freedom is betrayal. Eric Arthur Blair (1903-1950), better known by his pen-name, George Orwell, was born in India, where his father worked for the Civil Service. An author and journalist, Orwell was one of the most prominent and influential figures in twentieth-century literature. His unique political allegory Animal Farm was published in 1945, and it was this novel, together with the dystopia of Nineteen Eighty-Four (1949), which brought him world-wide fame. All his novels and non-fiction, including Burmese Days (1934), Down and Out in Paris and London (1933), The Road to Wigan Pier (1937) and Homage to Catalonia (1938) are published in Penguin Modern Classics. If you enjoyed Nineteen Eighty-Four, you might like Orwell's Animal Farm, also available in Penguin Modern Classics. 'His final masterpiece ... enthralling and indispensible for understanding modern history' Timothy Garton-Ash, New York Review of Books 'The book of the twentieth century ... haunts us with an ever-darker relevance' Independent",N/A,N/A
The Adventures of Sherlock Holmes,['Arthur Conan Doyle'],2007,['Detective and mystery stories'],"The greatest detective of them all is back. 'I have heard, Mr. Holmes, that you can see deeply into the manifold wickedness of the human heart'. Scandal, treachery and crime are rife in Old London Town. A king blackmailed by his mistress, dark dealings in Opium dens, stolen jewels, a missing bride - these are cases so fiendishly complex that only the great Sherlock Holmes would dare to investigate.",N/A,N/A
Night Without End,['Alistair MacLean'],1960,['Fiction in English'],Thriller. Combines elements of the espionage story and murder mystery with the c̀astaway' adventury yarn.,N/A,N/A
Selected Writings,['George Orwell'],1958,['Literary Criticism'],N/A,N/A,N/A
Where Eagles Dare,['Alistair MacLean'],1968,"['Alps, Austrian (Austria)']",Eight Allied agents parachute onto a mountainside behind enemy lines in wartime Germany to rescue an American general before Nazis can force him to reveal secret D-day plans.,N/A,N/A
Chance (Volume 1 of 3) (EasyRead Super Large 24pt Edition),['Joseph Conrad'],1992,[],N/A,N/A,N/A
Daisy Miller and Other Stories,"['Henry James', 'Jean Gooder']",1985,['American fiction'],"This volume includes 'Daisy Miller', 'Pandora', 'The Patagonia', and 'Four Meetings'.",N/A,N/A
The Time Machine,['Herbert George Wells'],1974,['Classic'],N/A,N/A,N/A
Dandelion Wine,['Ray Bradbury'],2008,['Fiction'],"An endearing classic of childhood memories of an idyllic midwestern summer from the celebrated author of 'Farenheit 451'. ""He stood at the open window in the dark, took a deep breath and exhaled. The street lights, like candles on a black cake, went out. He exhaled again and again and the stars began to vanish. Douglas smiled. He pointed a finger. There, and there. Now over here, and here... Yellow squares were cut in the dim morning earth as house lights winked slowly on. A sprinkle of windows came suddenly alight miles off in dawn country. 'Everyone yawn. Everyone up.'"" In the backwaters of Illinois, Douglas Spaulding's grandfather makes an intoxicating brew from harvested dandelions. 'Dandelion Wine' is a quirky, breathtaking coming-of-age story from one of science fiction's greatest writers. Distilling his experiences into ""Rites & Ceremonies"" and ""Discoveries & Revelations"", the young Spaulding wistfully ponders over magical tennis shoes, and machines for every purpose from time travel to happiness and silent travel. Based upon Bradbury's own experiences growing up in Waukegan in the 1920s, 'Dandelion Wine' is a heady mixture of fond memory, forgiveness, magic, the imagination and above all, of summers that seemed to go on forever.",N/A,N/A
Steampunk: H.G. Wells,['Herbert George Wells'],2013-01-29,['Juvenile Fiction'],"Presents a collection of H.G. Wells' classic science fiction tales, including ""The Time Machine,"" ""The War of the Worlds,"" and ""The Country of the Blind.""",N/A,N/A
The Fountainhead,['Ayn Rand'],1966,['Classic'],N/A,N/A,N/A
Power Without Glory,['Frank J. Hardy'],1982,['English fiction'],N/A,N/A,N/A
The Machineries of Joy,['Ray Bradbury'],1977,"['Fantasy fiction, American']",N/A,N/A,N/A
National Velvet,"['Enid Bagnold', 'Jame Andrews Lee Hyndman']",1961,['Classic'],"In mid-twentieth-century England, fourteen-year-old Velvet Brown, determined to turn the unruly horse she wins in a raffle into a champion, learns that she needs more than hard work and dedication to achieve her goal of riding her horse in the Grand National steeplechase.",N/A,N/A
The Trial,['Franz Kafka'],1968,['Fiction'],N/A,N/A,N/A
All that Swagger,['Miles Franklin'],1956,['Australian fiction'],N/A,N/A,N/A
Power Without Glory,['Frank J. Hardy'],1975-01-01,['English fiction'],Based on the life of John Wren.,N/A,N/A
Show Boat,['Edna Ferber'],1971,['Fiction'],The favorite novel about life on a Mississippi show boat and the romance between Magnolia and Gaylord Ravenal. Also use: So Big (1979) and Ice Palace (1980).,N/A,N/A
The Call of the Wild,['Jack London'],1993,['Classic'],N/A,N/A,N/A
Agnes Grey,[],1991,['England'],N/A,N/A,N/A
Honk If You Are Jesus,['Peter Goldsworthy'],1997,['Fiction'],"Middle-aged infertility expert Mara Fox takes a highly paid job at a Gold Coast University and unlimited funds to continue research projects, only to find herself entangled in a bizarre scientific nightmare.",N/A,N/A
The Marble Faun,['Nathaniel Hawthorne'],1961-12-01,['Classic'],"This novel tells the story of Donarells, an Italian Count bearing an uncanny resemblance to the faun of Praxiteles, the sculptor Kenyon and two young art students, Miriam and Hilda. The author also wrote Scarlet Letter.",N/A,N/A
Brother in the Land,['Robert Swindells'],1985,['Atomic bomb'],"After nuclear war hits England, a teenage survivor and his little brother must fight for their lives in a harsh new world.",N/A,N/A
The Big Sky,"['Alfred Bertram Guthrie', 'Bantam Books']",1972,['Classic'],"A portrayal of Boone Caudill, a mountain man, who, like his cohorts, came to the empty unsettled plains and mountains before the pioneer.",N/A,N/A
The Chant of Jimmie Blacksmith,['Thomas Keneally'],2001,['Literary Collections'],"The extraordinary Booker Prize shortlisted story of a black man's revenge against an unjust and intolerant society. Thomas Keneally was born in Sydney Australia in 1935. He studied to be a Catholic priest but abandoned his vocation to take up teaching and writing. He is the author of numerous works of fiction and non-fiction including ""Schindlers Ark"" which won the Booker Prize in 1982 and was made into a successful film.",N/A,N/A
The Getting of Wisdom,['Henry Handel Richardson'],1998,['Fiction'],"When Laura Rambotham arrives at an exclusive Melbourne girls school from her country home, she is ridiculed by the other pupils for her differences - her name, her unusual clothes and, especially, for her 'unpardonable sin': her exceptional musical ability. Laura endures ostracism and misery as she tries to make herself socially acceptable to her vicious peers, never quite succeeding but learning much about the world and its inhabitants along the way.",N/A,N/A
The Adventures of Tom Sawyer ; The Adventures of Huckleberry Finn ; The Prince and the Pauper,['Mark Twain'],1978-01-01,['Adventure stories'],N/A,N/A,N/A
The Life and Adventures of Nicholas Nickleby,['Charles Dickens'],1982,['Fiction'],"A young, compassionate man struggles to save his family and friends from the abusive exploitation of his cold-hearted, grasping uncle.",N/A,N/A
Pleasant Jim,['Max Brand'],1927,['Bounty hunters'],The price for bringing gun-slinger Charlie Rizdal to prison was high for Jim Pleasant - his own life.,N/A,N/A
My Brilliant Career,['Miles Franklin'],1901,['Australian fiction'],A story of a young girl living in the harsh outback plains of N.S.W. in 1901.,N/A,N/A
Robbery Under Arms,['Rolf Boldrewood'],2008,['Australia'],"With the sub heading 'A Story of Life and Adventure in the Bush and in the Goldfields' it was Robbery Under Arms that established Rolf Bolderwood's reputation in the literary world, and by which he is still most widely known. It is a great novel with a strong plot and cleverly organised development. First printed in serial form in 1881, the book was first published in 1888 and is considered an Australian classic",N/A,N/A
Fear is the Key,['Alistair MacLean'],1961,['Classic'],British adventurer kidnaps a girl at gunpoint and whisks her off down the Florida coast to the site of a mysterious salvage operation in the Gulf of Mexico.,N/A,N/A
The Metamorphosis,['Franz Kafka'],1972-02,['Fiction'],Originally published 1915. Kafka's bizarre masterpiece in which modern man is portrayed as an insect struggling toward human status.,N/A,N/A
The Big Sky,"['Alfred B. Guthrie, Jr.']",1984-10,['Classic'],"The Big Sky is the first of A.B. Guthrie's epic adventure novels of America's vast frontier. It is a story as great as the land that inspired it, sweeping westward from Kentucky, up the Missouri River into Indian Country. Towering above the novel is Guthrie's unforgettable hero, Boone Caudill, a true mountain man driven by a raging hunger for life and a longing for the blue sky and brown earth of the big, wild places. A legend before he turns 20, Boone becomes a powerful White Savage, an untamed life force that only one woman, the beautiful daughter of a Blackfoot chief, would dare to love. It is this magnificent spirit that Guthrie celebrates with his vivid storytelling--the glory of the bigness, the wildness, the freedom and undying dream of the West.",N/A,N/A
Papa's Wife,['Thyra Ferré Bjorn'],1966,['Classic'],"This novel follows the lives of a conservative, Swedish minister, Pontus Franzon, and his pretty young wife, Maria, through their years in a parsonage in Lapland, their eight children, and their journey to a new life in America.",N/A,N/A
Keep Him My Country,['Mary Durack'],1955,['Australian fiction'],N/A,N/A,N/A
The Harp in the South,['Ruth Park'],1989-04,['Australia'],N/A,N/A,N/A
Seven Little Australians,['Ethel Turner'],1988,['Australia'],"The story of seven very lively and very different personalities who live with their father, Captain Woolcot, and their young stepmother, in a house which is situated some distance up the Parramatta River.",N/A,N/A
Papa's Daughter,['Thyra Ferre Bjorn'],1980,['Classic'],"Heartwarming novel about a Swedish girl, daughter of a preacher who dreams impossible dreams and makes them come true.",N/A,N/A
Playing Beatie Bow,['Ruth Park'],1982-01,['Australia'],"A thrilling adventure story for children and young adults by Park Ruth, Playing Beatie Bow follows Abigail as she suddenly finds herself in the Sydney of a hundred years ago as the result of a scary game.",N/A,N/A
Tuck Everlasting,['Natalie Babbitt'],1985,[],Class set Year 6.,5,N/A
The Navigator,['Morris West'],1978,['Classic'],N/A,N/A,N/A
The Magic Pudding,['Norman Lindsay'],1969,['Animals'],N/A,N/A,N/A
Missus,['Ruth Park'],1986,['Fiction'],"Paperback edition of the first, but most recently published, volume in a bestselling trilogy of novels about a Sydney family, the Darcys. The other volumes are TThe Harp in the South' (1948) and TPoor Man's Orange' (1949). First published in 1985. The New Zealand-born author is one of Australia's most prolific and popular writers.",N/A,N/A
Greek Myths,['Marcia Williams'],2006,['Caricatures and cartoons'],"Greek myths are among the most exciting stories ever told. In this collection, Williams retells eight myths using simple language and a unique comic-strip format. Panels and spreads brimming with color and nonstop action make each tale a pleasure to look at and voice balloons add modern humor. The perfect way to introduce young readers to the power of myths.",N/A,N/A
The Drover's Wife and Other Classic Stories,['Henry Lawson'],1988,"['Short stories, Australian']",N/A,N/A,N/A
The Drover's Wife and Other Stories,['Henry Lawson'],1974-01-01,['Australia'],N/A,N/A,N/A
The Elephant Man,[],1989,['English language'],N/A,N/A,N/A
Cimarron,['Edna Ferber'],1971,['Classic'],"It is to Cimarron, a wild strip of Oklahoma land, that Yancey Cravat, dreamer and gunslinger, comes with his wife of gentle Southern blood. And it is there - where robberies and shootings are a way of life - that they and other homesteaders stay.",N/A,N/A
The Family at Misrule,['Ethel Turner'],1989,"[""Children's stories, Australian""]",SUMMARY: The continuing story of the growing children who live with their father and young stepmother in a house on the banks of the Parramatta River in the 1890s.,N/A,N/A
The Adventures of Robin Hood,['Marcia Williams'],2007,"[""Children's stories, English""]","Told in lively comic-strip style, this book relates the tale of Robin and his merry band. Youngsters can read how Robin becomes an outlaw, gets a ducking from Little John and encounters a disguised Maid Marian.",N/A,N/A
The Lost Salt Gift of Blood,['Alistair MacLeod'],1993,['Cape Breton Island (N.S.)'],"A collection of short stories set in Cape Breton, Nova Scotia - Brings to the reader the hopes, fears and joys of communities whose nature is coloured by their isolation___",N/A,N/A
Into the Out of,['Alan Dean Foster'],1987-07-01,['Fiction'],Vacationing FBI agent Joshua Oak is caught up in a hazardous plot to prevent the evil of another reality from entering the earth through the tribal colonies of Africa,N/A,N/A
David Copperfield,['Charles Dickens'],195?,[],N/A,N/A,N/A
The Skeleton Man,['Jay Bennett'],1986,[],N/A,N/A,N/A
The Deadly Messiah,"['David Campbell Hill', 'Albert Fay Hill']",1976,['Classic'],"In Bensonville, everyone is stricken with a fatal illness. The few survivors are stunned. Jess Barrett, Rhodes Scholar and Ph. D. teams up with presidential aide, Micah Maruyama, to discover the cause. Vera Norman, a highly respected astrologer, assists them in unraveling the mystery surrounding this epidemic.",N/A,N/A
The Teeth of the Gale,['Joan Aiken'],1997-02-06,"[""Children's stories, English""]","""Don Francisco wants you home, and in double-quick time, too. We must leave tomorrow at dawn . . . "" Felix's heart sinks at Pedro's words. What can be wrong? Is his beloved grandfather ill? Dashing and loyal, he speeds towards Villaverde - and a rescue mission. Donna Conchita's children are kidnapped and Felix may be reunited with the feisty Juana, if he agrees to help. Despite warnings of a conspiracy and his own suspicions of a trap, Felix fearlessly plunges into a plot thick with intrigue and danger. His grandfather said it was a matter of life and death - but whose?",N/A,N/A
The Three Musketeers,['Saviour Pirotta'],2020-12-15,['Juvenile Fiction'],"All for one and one for all! Delight children while enriching their library with this classic tale of adventure, now available as an elegant, giftable picture book",N/A,N/A
Greek Myths and Legends,"['Gilly Cameron Cooper', 'Nicholas J. Saunders']",2009,['Classic'],"Discover the action-packed adventures of Hercules; Theseus' cunning battle with the Minotaur; why Perseus received everlasting fame and whether Odysseus and his men beat Cyclops to make it home. Packed with information about mythical creatures, monsters and heroes, gods and goddesses.",N/A,N/A
The Tenant of Wildfell Hall,['Anne Brontë'],1990,['Fiction'],A nineteenth-century novel of the unhappy marriage between Helen Graham and her drunken husband realistically portrays the evils of alcoholism and its devastating impact,N/A,N/A
The Mayor of Casterbridge,['Thomas Hardy'],1950,['Classic'],N/A,N/A,N/A
My Brilliant Career 254p,['Miles Franklin'],1980,['Australian fiction'],N/A,N/A,N/A
Works of R. L. Stevenson; Treasure Island; Kidnapped; Weir of Hermiston; Master of Ballantrae; Black,['STEVENSON Robert Louis'],N/A,['Classic'],N/A,N/A,N/A
Don Quixote,['Miguel de Cervantes Saavedra'],1957,['Classic'],N/A,N/A,N/A
"Ben-Hur, with Sixteen Full-page Illustrative and Biographical Pictures Together with Introductory Remarks and Captions by Basil Davenport",['Lew Wallace'],1953,['Classics'],N/A,N/A,N/A
Lawrence of Arabia,[],1989,['Biographical films'],"Assigned to Arabia during World War I, Lawrence courageously unites the warring Arab factions into a strong guerrilla front and leads them to brilliant victories in treacherous desert battlefields where they defeat the ruling Turkish Empire.",N/A,N/A
"Uncommercial Traveller And, Edwin Drood",['Charles Dickens'],1880,['Classic'],N/A,N/A,N/A
"The Apology of Socrates, Phaedo and Crito of Plato",[],1907,['Classic'],N/A,N/A,N/A
And Harvest Comes Tomorrow,['Dorothy M. Leaney'],1988,['Australian fiction'],N/A,N/A,N/A
The Collected Short Stories of F. Scott Fitzgerald,['Francis Scott Fitzgerald'],1986,['American literature'],N/A,N/A,N/A
The Collected Short Stories of F. Scott Fitzgerald,['Francis Scott Fitzgerald'],1986,['American literature'],"A collection of author's stories including The Diamond as Big as the Ritz, a fairy tale of unlimited wealth; the sad and hilarious stories of Hollywood hack Pat Hobby; and The Lost Decade.",N/A,N/A
Oliver Twist,['Charles Dickens'],1970,['Classic'],Novel raises a never-to-be-forgotten cry against callous social evils.,N/A,N/A
Gulliver's Travels,['Jonathan Swift'],1983,['Travelers'],N/A,N/A,N/A
There is a Tide,['Agatha Christie'],1974,['Classic'],"After Gordon Cloade's gruesome death, his sister-in-law enlists Hercule Poirot to gather information on Rosaleen, Gordon's widow and sole heir, and her deceased first husband.",N/A,N/A
Silas Marner,['George Eliot'],1968,[],N/A,N/A,N/A
The Promise,['Chaim Potok'],1972,[],N/A,N/A,N/A
Dr. Strangelove: Or,['Peter George'],1964,['Classic'],A satiric tragicomedy about the Cold War and how military bureaucracy warmed it up.,N/A,N/A
Oliver Twist,"['Charles Dickens', 'George Evans']",2015-09,['Classic'],"A graphic novel version of the classic, set in Victorian England, in which a poor orphan is forced into the workhouse at age eight and runs away to become a thief and has a series of misadventures before discovering his true identity.",N/A,N/A
The Scarlet Letter,['Nathaniel Hawthorne'],1948,['Classic'],N/A,N/A,N/A
The Adventures of Sherlock Holmes,['Sir Arthur Conan Doyle'],2000,['Classic'],Six fascinating stories in this book are terrific tales that will delight any young mystery-lover!,N/A,N/A
Please Don't Eat the Daisies (Videorecording),['Home Video Mgmmua'],1981-01-01,['Biographical films'],"A theater critic (Niven), his wife (Day), and their children move to the country where they hope to escape problems of urban living.",N/A,N/A
Elizabethan Drama,[],1909,[],N/A,N/A,N/A
Jude the Obscure,['Thomas Hardy'],1923,['Adultery'],Originally published 1896. Revised and updated bibliography. Victorian novel of Jude Fawley whose children and two women destroy his ideals and cause his destruction.,N/A,N/A
Drums.,['James Boyd'],1968-06-01,[],N/A,N/A,N/A
