title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Securing AI Model Weights,"['Sella Nevo', 'Dan Lahav', 'Ajay Karpur', 'Yogev Bar-On', 'Henry Alexander Bradley']",2024-05-30,['Computers'],"The authors describe how to secure the weights of frontier artificial intelligence and machine learning models (that is, models that match or exceed the capabilities of the most advanced models at the time of their development).",N/A,N/A,en
Identifying and Prioritizing Systemically Important Entities,"['John Bordeaux', 'Jonathan William Welburn', 'Sasha Romanosky', 'Benjamin Boudreaux', 'Aaron Strong']",2023-11-20,['Business & Economics'],This report helps the Cybersecurity and Infrastructure Security Agency codify the concept of systemically important critical infrastructure by documenting the work surrounding systemic risks and cyber risks in software supply chains.,N/A,N/A,en
Beauftragte für IT-Sicherheit und Informationssicherheit,"['Florian Deusch', 'Tobias Eggendorfer']",2024-01-15,[],N/A,N/A,N/A,de
Ciberseguridad y ciberdefensa en la sociedad global,"['Federico Bueno de Mata', 'Arriba Arribas Sánchez', 'Marcelo Bauza Reilly']",2023,[],N/A,N/A,N/A,de
